Datum;Uhrzeit;NO3;NO2;Temperatur;SECCI;Salinität;NOx
25.11.1993;;4.7166;0.4985066666666666;8.07161507936508;;32;
26.11.1993;;4.762216666666666;0.5032;7.966269047619048;;32;
27.11.1993;;4.803166666666666;0.50688;7.856517857142857;;32;
28.11.1993;;4.839449999999999;0.50688;7.742361507936507;;32;
29.11.1993;;4.954425;0.5032;7.612419444444444;;32;
30.11.1993;;5.1286375;0.49584;7.466691666666667;;32;
01.12.1993;;5.3620875;0.4926133333333333;7.302830555555555;;32;
02.12.1993;;5.654775;0.49352;7.1319333333333335;;32;
03.12.1993;;5.856491666666666;0.49856;6.954;;32;
04.12.1993;;6.039775;0.50496;6.7666458333333335;;32;
05.12.1993;;6.204624999999999;0.51296;6.569870833333333;;32;
06.12.1993;;6.456799999999999;0.5225599999999999;6.386361904761905;;32;
07.12.1993;;6.7067875;0.53376;6.216119047619047;;32;
08.12.1993;;6.954587500000001;0.54512;6.058221428571429;;32;
09.12.1993;;7.200199999999999;0.55664;5.912669047619048;;32;
10.12.1993;;7.422916666666667;0.5683199999999999;5.779461904761905;;32;
11.12.1993;;7.6625499999999995;0.58016;5.659025;;32;
12.12.1993;;7.9191;0.59008;5.551358333333333;;32;
13.12.1993;;8.143099999999999;0.5980800000000001;5.4495;;32;
14.12.1993;;8.334549999999998;0.60416;5.35345;;32;
15.12.1993;;8.49345;0.6101866666666668;5.266277777777777;;32;
16.12.1993;;8.6198;0.6161600000000002;5.177014285714286;;32;
17.12.1993;;8.749533333333334;0.6220800000000001;5.085659523809524;;32;
18.12.1993;;8.903675;0.62944;4.992402380952381;;32;
19.12.1993;;9.082225;0.6382933333333334;4.8972428571428575;;32;
20.12.1993;;9.3046375;0.64864;4.800180952380952;;32;
21.12.1993;;9.570912499999999;0.6604800000000001;4.701216666666667;;32;
22.12.1993;;9.88105;0.6744;4.604033333333333;;32;
23.12.1993;;10.235049999999998;0.6904;4.513177777777778;;32;
24.12.1993;;10.560375;0.7084800000000001;4.42865;;32;
25.12.1993;;10.857025;0.7289599999999999;4.353141666666667;;32;
26.12.1993;;11.124999999999998;0.7479466666666668;4.286652777777777;;32;
27.12.1993;;11.4538125;0.7654400000000001;4.229183333333333;;32;
28.12.1993;;11.8434625;0.7814399999999999;4.180733333333333;;32;
29.12.1993;;12.293949999999999;0.7987200000000001;4.152683333333333;;32;
30.12.1993;;12.805274999999996;0.8172800000000001;4.145033333333333;;32;
31.12.1993;;13.337625;0.8371200000000001;4.157783333333333;;32;
01.01.1994;;13.890999999999996;0.85824;4.179836111111111;;32;
02.01.1994;;14.465399999999997;0.88096;4.211191666666666;;32;
03.01.1994;;15.060824999999998;0.90528;4.25185;;32;
04.01.1994;;15.677274999999996;0.9312;4.301811111111111;;32;
05.01.1994;;16.314749999999997;0.95872;4.338388095238095;;32;
06.01.1994;;16.973249999999997;0.98784;4.361580952380952;;32;
07.01.1994;;17.63175;1.01856;4.371389682539682;;32;
08.01.1994;;18.290249999999997;1.05088;4.367814285714285;;32;
09.01.1994;;18.948749999999997;1.0850133333333334;4.3508547619047615;;32;
10.01.1994;;19.60725;1.12096;4.332505555555556;;32;
11.01.1994;;20.26575;1.1587200000000002;4.312766666666667;;32;
12.01.1994;;20.924249999999997;1.1956266666666668;4.2986;;32;
13.01.1994;;21.582749999999997;1.23168;4.277633333333333;;32;
14.01.1994;;22.24125;1.26688;4.249866666666667;;32;
15.01.1994;;23.181241666666665;1.30408;4.226269047619048;;32;
16.01.1994;;24.402724999999997;1.34328;4.206840476190476;;32;
17.01.1994;;25.9057;1.38448;4.199230952380952;;32;
18.01.1994;;27.261387499999994;1.4276800000000005;4.203440476190476;;32;
19.01.1994;;28.469787499999995;1.4666133333333335;4.219469047619048;;32;
20.01.1994;;29.530899999999995;1.5012800000000002;4.2401625;;32;
21.01.1994;;30.444725000000002;1.5316800000000002;4.265520833333333;;32;
22.01.1994;;31.153541666666662;1.5615200000000002;4.290997222222222;;32;
23.01.1994;;31.657349999999997;1.5908000000000002;4.316591666666667;;32;
24.01.1994;;31.95615;1.61952;4.340675;;32;
25.01.1994;;32.37191249999999;1.6476800000000005;4.363247222222222;;32;
26.01.1994;;32.9046375;1.6733866666666668;4.384308333333333;;32;
27.01.1994;;33.55432499999999;1.69664;4.406762499999999;;32;
28.01.1994;;34.320975;1.7174400000000003;4.430609722222222;;32;
29.01.1994;;35.07103333333333;1.7374400000000003;4.45585;;32;
30.01.1994;;35.8045;1.7566400000000002;4.482483333333333;;32;
31.01.1994;;36.521375;1.7750400000000004;4.517522222222222;;32;
01.02.1994;;37.219325;1.7926400000000002;4.560966666666666;;32;
02.02.1994;;37.89834999999999;1.8182400000000003;4.612816666666667;;32;
03.02.1994;;38.55844999999999;1.85184;4.664369841269841;;32;
04.02.1994;;38.91813333333332;1.89344;4.715626190476191;;32;
05.02.1994;;38.88068333333334;1.9315657142857143;4.766585714285714;;32;
06.02.1994;;38.4461;1.9673904761904764;4.817248412698413;;32;
07.02.1994;;38.043162499999994;2.000914285714286;4.867614285714286;;32;
08.02.1994;;37.8373375;2.032137142857143;4.917683333333333;;32;
09.02.1994;;37.828624999999995;2.058205714285714;4.955461111111111;;32;
10.02.1994;;38.017025;2.07912;4.9733583333333335;;32;
11.02.1994;;38.460258333333336;2.0948800000000003;4.971375;;32;
12.02.1994;;39.158325000000005;2.1091200000000003;4.961883333333333;;32;
13.02.1994;;40.111225000000005;2.1277866666666667;4.944883333333333;;32;
14.02.1994;;40.996987499999996;2.15088;4.936005555555555;;32;
15.02.1994;;41.81397499999999;2.1784000000000003;4.93525;;32;
16.02.1994;;42.5621875;2.202746666666667;4.934966666666666;;32;
17.02.1994;;43.24162499999999;2.22392;4.9288244047619045;;32;
18.02.1994;;43.98584166666667;2.24192;4.916823214285714;;32;
19.02.1994;;44.506991666666664;2.258948571428572;4.906117261904762;;32;
